"","key","value","x","country","region"
"1","schools_universities",2020-03-13,7.3,"Denmark","Denmark"
"2","self_isolating_if_ill",2020-03-12,7.3,"Denmark","Denmark"
"3","public_events",2020-03-12,7,"Denmark","Denmark"
"4","lockdown",2020-03-18,7.3,"Denmark","Denmark"
"5","social_distancing_encouraged",2020-03-13,7,"Denmark","Denmark"
"6","schools_universities",2020-03-05,5.3,"Italy","Italy"
"7","self_isolating_if_ill",2020-03-09,5.3,"Italy","Italy"
"8","public_events",2020-03-09,5,"Italy","Italy"
"9","lockdown",2020-03-11,5.3,"Italy","Italy"
"10","social_distancing_encouraged",2020-03-09,4.7,"Italy","Italy"
"11","schools_universities",2020-03-14,5.3,"Germany","Germany"
"12","self_isolating_if_ill",2020-03-06,5.3,"Germany","Germany"
"13","public_events",2020-03-22,5.3,"Germany","Germany"
"14","lockdown",2020-03-22,5,"Germany","Germany"
"15","social_distancing_encouraged",2020-03-12,5.3,"Germany","Germany"
"16","schools_universities",2020-03-13,5.3,"Spain","Spain"
"17","self_isolating_if_ill",2020-03-14,5.3,"Spain","Spain"
"18","public_events",2020-03-14,5,"Spain","Spain"
"19","lockdown",2020-03-14,4.7,"Spain","Spain"
"20","social_distancing_encouraged",2020-03-09,5.3,"Spain","Spain"
"21","schools_universities",2020-03-21,5.3,"United_Kingdom","United_Kingdom"
"22","self_isolating_if_ill",2020-03-12,5.3,"United_Kingdom","United_Kingdom"
"23","public_events",2020-03-24,5.3,"United_Kingdom","United_Kingdom"
"24","lockdown",2020-03-24,5,"United_Kingdom","United_Kingdom"
"25","social_distancing_encouraged",2020-03-16,5.3,"United_Kingdom","United_Kingdom"
"26","schools_universities",2020-03-14,5.3,"France","France"
"27","self_isolating_if_ill",2020-03-16,5.3,"France","France"
"28","public_events",2020-03-13,5.3,"France","France"
"29","lockdown",2020-03-17,5.3,"France","France"
"30","social_distancing_encouraged",2020-03-16,5,"France","France"
"31","schools_universities",2020-03-13,5.3,"Norway","Norway"
"32","self_isolating_if_ill",2020-03-15,5.3,"Norway","Norway"
"33","public_events",2020-03-12,5.3,"Norway","Norway"
"34","lockdown",2020-03-24,5.3,"Norway","Norway"
"35","social_distancing_encouraged",2020-03-16,5.3,"Norway","Norway"
"36","schools_universities",2020-03-14,6.3,"Belgium","Belgium"
"37","self_isolating_if_ill",2020-03-10,6.3,"Belgium","Belgium"
"38","public_events",2020-03-12,6.3,"Belgium","Belgium"
"39","lockdown",2020-03-18,6.3,"Belgium","Belgium"
"40","social_distancing_encouraged",2020-03-14,6,"Belgium","Belgium"
"41","schools_universities",2020-03-14,5.3,"Austria","Austria"
"42","self_isolating_if_ill",2020-03-16,5.3,"Austria","Austria"
"43","public_events",2020-03-10,5.3,"Austria","Austria"
"44","lockdown",2020-03-16,5,"Austria","Austria"
"45","social_distancing_encouraged",2020-03-16,4.7,"Austria","Austria"
"46","schools_universities",2028-08-18,6.3,"Sweden","Sweden"
"47","self_isolating_if_ill",2020-03-10,6.3,"Sweden","Sweden"
"48","public_events",2020-03-29,6.3,"Sweden","Sweden"
"49","lockdown",2028-08-18,6,"Sweden","Sweden"
"50","social_distancing_encouraged",2020-03-16,6.3,"Sweden","Sweden"
"51","schools_universities",2020-03-14,5.3,"Switzerland","Switzerland"
"52","self_isolating_if_ill",2020-03-02,5.3,"Switzerland","Switzerland"
"53","public_events",2020-03-13,5.3,"Switzerland","Switzerland"
"54","lockdown",2020-03-20,5.3,"Switzerland","Switzerland"
"55","social_distancing_encouraged",2020-03-16,5.3,"Switzerland","Switzerland"
"56","schools_universities",2020-03-11,4.3,"Greece","Greece"
"57","self_isolating_if_ill",2020-03-09,4.3,"Greece","Greece"
"58","public_events",2020-03-19,4.3,"Greece","Greece"
"59","lockdown",2020-03-23,4.3,"Greece","Greece"
"60","social_distancing_encouraged",2020-03-16,4.3,"Greece","Greece"
"61","schools_universities",2020-03-14,5.3,"Portugal","Portugal"
"62","self_isolating_if_ill",2020-03-19,5.3,"Portugal","Portugal"
"63","public_events",2020-03-12,5.3,"Portugal","Portugal"
"64","lockdown",2020-03-22,5.3,"Portugal","Portugal"
"65","social_distancing_encouraged",2020-03-12,5,"Portugal","Portugal"
"66","schools_universities",2020-03-14,4.3,"Netherlands","Netherlands"
"67","self_isolating_if_ill",2020-03-12,4.3,"Netherlands","Netherlands"
"68","public_events",2020-03-12,4,"Netherlands","Netherlands"
"69","lockdown",2020-03-23,4.3,"Netherlands","Netherlands"
"70","social_distancing_encouraged",2020-03-12,3.7,"Netherlands","Netherlands"
